Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,State,Zip
LP002959,Female,Yes,1,Graduate,No,12000,0,496,360,1,Semiurban,Y,WA,98520
LP002960,Male,Yes,0,Not Graduate,No,2400,3800,,180,1,Urban,N,OH,45373
LP002961,Male,Yes,1,Graduate,No,3400,2500,173,360,1,Semiurban,Y,CA,92173
LP002964,Male,Yes,2,Not Graduate,No,3987,1411,157,360,1,Rural,Y,CA,90031
LP002974,Male,Yes,0,Graduate,No,3232,1950,108,360,1,Rural,Y,NM,88310
LP002978,Female,No,0,Graduate,No,2900,0,71,360,1,Rural,Y,CA,92106
LP002979,Male,Yes,3+,Graduate,No,4106,0,40,180,1,Rural,Y,CA,91755
LP002983,Male,Yes,1,Graduate,No,8072,240,253,360,1,Urban,Y,CT,6239
LP002984,Male,Yes,2,Graduate,No,7583,0,187,360,1,Urban,Y,CA,92627
LP002990,Female,No,0,Graduate,Yes,4583,0,133,360,0,Semiurban,N,CA,93313
